,회사명,채용정보,채용링크,요구경력,요구학벌,직장위치,지원종료일
55,닥터노아바이오텍,DataAnalysis/생명공학/python/머신러닝/R 외 경력무관 채용공고,http://www.jobkorea.co.kr//Recruit/GI_Read/30303783?Oem_Code=C1&logpath=1,신입·경력,석사↑,경기 수원시,~12/18(수)
56,㈜비스텔,[비스텔] AI/빅데이터-Data Scientist 연구개발 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30284533?Oem_Code=C1&logpath=1,신입·경력2년↑,대졸↑,서울 서초구,~12/18(수)
57,엠씨지컨설팅㈜,인공지능(AI) 전문 개발자 채용 건,http://www.jobkorea.co.kr//Recruit/GI_Read/30281913?Oem_Code=C1&logpath=1,경력1년↑,초대졸↑,서울 영등포구,~12/18(수)
58,넥스트케이,㈜넥스트케이 연구개발자 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30281376?Oem_Code=C1&logpath=1,신입·경력,초대졸↑,경기 성남시,~01/17(금)
59,유니웹스㈜,자연어처리 빅데이터 알고리즘 개발자 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30533670?Oem_Code=C1&logpath=1,경력5년↑,학력무관,서울 송파구,~12/22(일)
60,㈜에듀템,모바일앱 IT개발자 모집합니다,http://www.jobkorea.co.kr//Recruit/GI_Read/30531338?Oem_Code=C1&logpath=1,신입·경력1년↑,초대졸↑,서울 마포구,~12/31(화)
61,㈜미소정보기술,미소정보기술 대전본부 경력직 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30525657?Oem_Code=C1&logpath=1,경력,초대졸↑,대전 유성구,~01/12(일)
62,㈜테라젠이텍스 바이오연구소,㈜테라젠이텍스 바이오연구소 빅데이터사업부 웹개발자 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30524918?Oem_Code=C1&logpath=1,경력3년↑,대졸↑,경기 수원시 외,~02/09(일)
63,㈜마루HR,"[강남/정규직]AI프로그래머,유니티,언리얼 엔진 등 연계",http://www.jobkorea.co.kr//Recruit/GI_Read/30518093?Oem_Code=C1&logpath=1,경력무관,학력무관,서울 강남구,~12/18(수)
64,[서울호서전문학교]직업능력개발원,[서울호서직능원]빅데이터 및 인공지능 강사 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30507951?Oem_Code=C1&logpath=1,경력3년↑,대졸↑,서울 강서구,~02/10(월)
65,포미트,기술연구소 소속 선임연구원 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30486038?Oem_Code=C1&logpath=1,경력5년↑,석사↑,부산 전지역 외,~12/31(화)
66,농업회사법인하루그룹,[강남 테헤란로] AI기반의 SW특급 개발자,http://www.jobkorea.co.kr//Recruit/GI_Read/30482302?Oem_Code=C1&logpath=1,경력3년↑,학력무관,서울 강남구,~12/16(월)
67,주식회사 트윔,(주)트윔 S/W 프로그래머 모집 : 경력/신입,http://www.jobkorea.co.kr//Recruit/GI_Read/30479329?Oem_Code=C1&logpath=1,신입·경력2년↑,학력무관,경기 화성시,~01/05(일)
68,㈜스쿨버스,"세이프 스쿨버스 서버, 웹, 모바일 개발자 채용",http://www.jobkorea.co.kr//Recruit/GI_Read/30475360?Oem_Code=C1&logpath=1,경력3년↑,학력무관,서울 전지역,~01/08(수)
69,티엔지소프트,모바일 앱/웹 서비스 개발을 위한 개발자를 모십니다,http://www.jobkorea.co.kr//Recruit/GI_Read/30436354?Oem_Code=C1&logpath=1,신입·경력5년↑,대졸↑,서울 마포구,~12/31(화)
70,㈜지앤티솔루션,[대전·김천]교통·GIS시스템/솔루션 개발(웹/앱/CS) 및 분석/설계,http://www.jobkorea.co.kr//Recruit/GI_Read/30429698?Oem_Code=C1&logpath=1,신입·경력,대졸↑,대전 서구 외,~01/02(목)
71,케이넷이엔지,[케이넷이엔지] AI 개발 / SI 개발 신입/경력 정규직 채용돼서 효도하자,http://www.jobkorea.co.kr//Recruit/GI_Read/30424687?Oem_Code=C1&logpath=1,경력무관,학력무관,경기 안양시,상시채용
72,엔쓰리엔㈜,2019년 각 분야별 신입 및 경력사원 모집 (병역특례 포함),http://www.jobkorea.co.kr//Recruit/GI_Read/30421718?Oem_Code=C1&logpath=1,신입·경력1년↑,학력무관,서울 영등포구,~12/31(화)
73,㈜와이디생명과학,"[와이디생명과학] AI개발자, 빅데이터, 시스템, 바이오정보분석 채용",http://www.jobkorea.co.kr//Recruit/GI_Read/30403317?Oem_Code=C1&logpath=1,신입·경력,대졸↑,경기 성남시,~12/17(화)
74,메가존㈜,[구글클라우드] GCP 기술 엔지니어,http://www.jobkorea.co.kr//Recruit/GI_Read/30395564?Oem_Code=C1&logpath=1,경력3년↑,학력무관,서울 강남구,~12/31(화)
75,지엔이아이(GNEI),안드로이드 앱개발,http://www.jobkorea.co.kr//Recruit/GI_Read/30400221?Oem_Code=C1&logpath=1,경력무관,학력무관,서울 송파구,상시채용
76,㈜ 바이애틱,[바이애틱] 정보기술연구소 IT 개발자 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30396362?Oem_Code=C1&logpath=1,경력,대졸↑,서울 서초구,~12/29(일)
77,㈜엠에이치엔씨티,인공지능 솔루션 개발 및 구축 설계 담당 연구원을 모십니다.,http://www.jobkorea.co.kr//Recruit/GI_Read/30392342?Oem_Code=C1&logpath=1,경력2년↑,석사↑,서울 성동구,~12/29(일)
78,㈜인코스파트너스,[상암/디지털미디어시티역]외국계기업 AI 개발 직원 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30356061?Oem_Code=C1&logpath=1,경력무관,학력무관,서울 마포구 외,~12/26(목)
79,몬드리안에이아이㈜,2019년 상반기 프론트엔드/백엔드 인턴직 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30330827?Oem_Code=C1&logpath=1,경력무관,대졸↑,인천 연수구,~01/21(화)
80,갈릴리,"WEB (Front-end, Back-end) 개발 경력/신입 모십니다.",http://www.jobkorea.co.kr//Recruit/GI_Read/30324365?Oem_Code=C1&logpath=1,경력무관,학력무관,서울 서초구,~12/22(일)
81,㈜스낵포,[스낵포] 간식을 사랑하는 `Django 개발자` 찾습니다,http://www.jobkorea.co.kr//Recruit/GI_Read/30296017?Oem_Code=C1&logpath=1,신입·경력1년↑,대졸↑,경기 성남시,~12/19(목)
82,㈜웨이브릿지,성장하는 핀테크 스타트업 Back-End Developer 경력직 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30216357?Oem_Code=C1&logpath=1,경력2년↑,대졸↑,서울 강남구,상시채용
83,㈜코이노,"AI, 데이터분석 연구개발 및 관리 정규직 모집",http://www.jobkorea.co.kr//Recruit/GI_Read/30536548?Oem_Code=C1&logpath=1,신입,대졸↑,서울 구로구,~01/15(수)
84,㈜머니브레인,"[인공지능 기업] 머신러닝 엔지니어, 딥러닝 엔지니어 경력 모집",http://www.jobkorea.co.kr//Recruit/GI_Read/30533928?Oem_Code=C1&logpath=1,경력3년↑,석사↑,경기 전지역 외,~12/31(화)
85,여의,"웹, 서버 개발자 정규직 채용",http://www.jobkorea.co.kr//Recruit/GI_Read/30521190?Oem_Code=C1&logpath=1,경력,초대졸↑,경기 성남시,~01/12(일)
86,중앙정보처리학원,국비지원 IT기업 취업연계 교육 연수생모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30509886?Oem_Code=C1&logpath=1,경력무관,학력무관,서울 마포구 외,~01/11(토)
87,시스트란,SW개발 엔지니어/책임자 (영어 필수),http://www.jobkorea.co.kr//Recruit/GI_Read/30508849?Oem_Code=C1&logpath=1,경력10년↑,대졸↑,서울 강남구 외,~01/31(금)
88,중앙정보기술인재개발원,국비지원 IT 취업연계 교육 연수생모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30508825?Oem_Code=C1&logpath=1,경력무관,학력무관,서울 강남구 외,~01/11(토)
89,중앙정보기술인재개발원 중앙정보처리학원,국비지원 IT 취업연계 교육 연수생모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30508398?Oem_Code=C1&logpath=1,경력무관,학력무관,서울 강남구 외,~01/11(토)
90,중앙정보기술인재개발원,전액국비지원 IT 취업연계 교육 연수생모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30508301?Oem_Code=C1&logpath=1,경력무관,학력무관,서울 강남구 외,~01/11(토)
91,중앙정보기술인재개발원,전액 국비지원 IT 취업연계교육,http://www.jobkorea.co.kr//Recruit/GI_Read/30508271?Oem_Code=C1&logpath=1,경력무관,학력무관,서울 마포구,~01/11(토)
