,0,1,2,3,4
272,问,/zh/entry?entryID=c_3cf0bce7ad7c,wèn,묻다.질문하다.,2급
273,问题,/zh/entry?entryID=c_3cf0bce5aa77,wèntí,(해답·해석등을요구하는)문제.,2급
274,洗,/zh/entry?entryID=c_3cf1b9efa87d,xǐ,씻다.빨다.,2급
275,笑,/zh/entry?entryID=c_33f6bae3ab71,xiào,웃다.웃음을짓다.,2급
276,小时,/zh/entry?entryID=c_33f6bce3ad75,xiǎoshí,시간.시간단위,2급
277,西瓜,/zh/entry?entryID=c_3cf1bde0ab75,xīguā,수박.,2급
278,新,/zh/entry?entryID=c_33f7bfe2ac77,xīn,새롭다.,2급
279,姓,/zh/entry?entryID=c_33f7b6e4a86c,xìng,성.성씨.,2급
280,休息,/zh/entry?entryID=c_33f4bee3a870,xiūxi,휴식〔휴양〕하다.휴식을취하다.쉬다.,2급
281,希望,/zh/entry?entryID=c_3cf1bae0ae75,xīwàng,희망.소망.원망.바람.소원.,2급
282,雪,/zh/entry?entryID=c_33f4b7e6a468,xuě,눈.,2급
283,羊肉,/zh/entry?entryID=c_33f2bae0ab6a,yángròu,양고기.,2급
