id,rel
2142.0,[222]
3811.0,[222]
4318.0,[222]
4338.0,"[222, 256]"
839.0,[223]
888.0,[223]
1154.0,"[223, 310]"
1400.0,[223]
1626.0,"[223, 342]"
2555.0,[223]
3873.0,[223]
2226.0,[224]
2401.0,"[224, 316]"
2502.0,"[224, 279]"
2564.0,[224]
2675.0,[224]
4431.0,"[224, 511]"
1864.0,[226]
2430.0,[226]
3972.0,[226]
3994.0,[226]
4428.0,[226]
2702.0,[228]
1352.0,[229]
1644.0,[229]
2524.0,[229]
2698.0,"[229, 715]"
3009.0,[229]
3122.0,[229]
3752.0,"[230, 490]"
851.0,[231]
2169.0,[231]
2744.0,"[231, 492]"
4689.0,[231]
4710.0,[231]
4751.0,[231]
3879.0,[233]
3753.0,[234]
3754.0,[234]
3756.0,[234]
2895.0,[235]
4355.0,[235]
3431.0,[236]
984.0,"[237, 323]"
2955.0,"[237, 264]"
4699.0,[237]
2356.0,"[238, 335]"
2832.0,[238]
4742.0,[238]
1593.0,[242]
2237.0,"[242, 254]"
2239.0,[242]
2260.0,[243]
2448.0,[243]
2897.0,[243]
1253.0,"[244, 418]"
1348.0,[244]
1568.0,[244]
2280.0,[244]
2281.0,[244]
2892.0,[244]
3137.0,"[244, 268]"
3914.0,[244]
798.0,[245]
2526.0,"[245, 597]"
4150.0,[245]
4199.0,[245]
4286.0,"[245, 340]"
783.0,[246]
1341.0,[246]
1343.0,[246]
2246.0,[246]
2255.0,[246]
2267.0,[246]
3198.0,[246]
3420.0,[246]
3074.0,[247]
3161.0,[247]
3007.0,[248]
3033.0,[248]
3034.0,[248]
4673.0,[249]
3434.0,[250]
2373.0,[251]
3018.0,[251]
4333.0,[251]
4584.0,[252]
2794.0,"[254, 487]"
998.0,"[256, 511]"
1000.0,[256]
1006.0,[256]
1461.0,[256]
1717.0,[256]
2441.0,[256]
2755.0,[256]
3622.0,[256]
4264.0,[256]
1477.0,[258]
2247.0,[258]
2259.0,[258]
2278.0,"[258, 408]"
3660.0,[258]
1333.0,[260]
2956.0,[260]
3788.0,[260]
2148.0,[262]
2741.0,[262]
2908.0,[262]
4549.0,[262]
2857.0,[263]
983.0,[264]
1285.0,[264]
1417.0,[264]
1845.0,[264]
1943.0,[264]
2465.0,[264]
2696.0,[264]
3796.0,[264]
3797.0,[264]
3798.0,[264]
3801.0,[264]
4331.0,[264]
4629.0,[264]
2629.0,[265]
3511.0,[265]
4066.0,[265]
4069.0,[265]
1849.0,[266]
1153.0,[267]
2305.0,[268]
2657.0,[268]
3130.0,"[268, 440]"
1276.0,[269]
2856.0,"[269, 496]"
1429.0,[270]
1430.0,"[270, 584]"
1608.0,[270]
1739.0,[270]
1740.0,[270]
3575.0,[270]
3623.0,[270]
3737.0,[270]
4023.0,[270]
4114.0,[270]
4119.0,[270]
4121.0,[270]
1338.0,[271]
1371.0,"[271, 342]"
2658.0,[271]
3258.0,[271]
3724.0,[271]
3112.0,[272]
1342.0,[273]
1368.0,[273]
2256.0,[273]
2900.0,[273]
3195.0,[273]
3216.0,[273]
3217.0,[273]
3278.0,[273]
3360.0,[273]
3245.0,[274]
1605.0,[276]
860.0,[277]
1078.0,[277]
1384.0,[277]
1749.0,[277]
2499.0,[277]
2500.0,[277]
3235.0,"[277, 388]"
3241.0,[277]
3242.0,[277]
4366.0,[277]
1701.0,[278]
1707.0,[278]
3309.0,[278]
3310.0,"[278, 688]"
3409.0,[278]
3412.0,[278]
3732.0,[278]
4469.0,[278]
1143.0,[279]
1782.0,[279]
2241.0,[279]
3090.0,[279]
1458.0,[280]
1565.0,[280]
1879.0,[280]
3001.0,[280]
1120.0,[281]
1245.0,[281]
1512.0,[281]
1695.0,[281]
1892.0,[281]
3040.0,[281]
3205.0,[281]
3282.0,[281]
3397.0,[281]
3447.0,[281]
3562.0,[281]
4158.0,[281]
4232.0,[281]
4269.0,[281]
4434.0,[282]
863.0,[283]
881.0,[283]
1349.0,[283]
1638.0,[283]
2298.0,"[283, 308]"
3077.0,[283]
3144.0,[283]
3190.0,[283]
3498.0,[283]
4321.0,[283]
4709.0,[283]
2493.0,[285]
4363.0,[287]
876.0,[289]
2011.0,[289]
2843.0,[289]
2846.0,"[289, 453]"
2847.0,[289]
3268.0,[289]
3414.0,[289]
3499.0,[289]
3708.0,[289]
4554.0,[292]
1107.0,[293]
1674.0,[293]
1891.0,[293]
1994.0,[293]
2022.0,"[293, 363]"
2997.0,[293]
3633.0,[293]
3688.0,[293]
3783.0,[293]
4195.0,[293]
4297.0,[293]
4300.0,[293]
4301.0,[293]
4316.0,[293]
4328.0,[293]
4566.0,[293]
3717.0,[295]
1299.0,[297]
2854.0,[297]
3970.0,[298]
4471.0,"[298, 533]"
1855.0,[299]
1017.0,[301]
1261.0,[301]
1547.0,[301]
1958.0,[301]
2616.0,[301]
4189.0,[301]
1544.0,[302]
1854.0,[302]
2834.0,"[303, 543]"
1542.0,[304]
1797.0,[304]
1592.0,[306]
2015.0,[306]
2145.0,[306]
2468.0,[306]
4670.0,[306]
2462.0,[308]
812.0,[310]
827.0,"[310, 439]"
917.0,[310]
1516.0,[310]
3696.0,[310]
3875.0,[310]
3897.0,[310]
3940.0,"[310, 492]"
3439.0,[316]
4621.0,[316]
4649.0,[316]
1222.0,[317]
2415.0,[317]
2417.0,[317]
4416.0,[317]
4426.0,[317]
1144.0,[320]
2206.0,[320]
2539.0,[320]
1213.0,[321]
2178.0,[321]
2190.0,[321]
1780.0,[322]
2424.0,"[322, 373]"
2427.0,[322]
2450.0,"[322, 402]"
3296.0,[322]
3380.0,[322]
3384.0,"[322, 395]"
3391.0,[322]
3443.0,[322]
3450.0,[322]
3460.0,[322]
2081.0,[324]
3539.0,[326]
1270.0,[327]
2128.0,[327]
2332.0,[327]
1561.0,[328]
3541.0,[328]
2352.0,[335]
3471.0,[335]
4722.0,[335]
1607.0,[336]
1843.0,[336]
2216.0,[336]
2325.0,[336]
2392.0,[336]
4484.0,[336]
4748.0,[336]
3613.0,[338]
4511.0,[338]
4397.0,[340]
786.0,[341]
1868.0,[341]
2025.0,[341]
2483.0,[341]
2628.0,"[341, 351]"
2653.0,[341]
4015.0,[341]
4285.0,"[341, 439]"
4288.0,[341]
4291.0,[341]
915.0,"[342, 484]"
1193.0,[342]
1210.0,[342]
1627.0,[342]
2303.0,[342]
2920.0,[342]
3225.0,[342]
3345.0,[342]
3446.0,[342]
3908.0,[342]
