id,rel
1888,[137]
,
1894,"[137, 179]"
,
1898,[137]
,
1907,[137]
,
1924,[137]
,
3191,[137]
,
3378,"[137, 416]"
,
4217,[137]
,
4218,[137]
,
4219,[137]
,
4222,"[137, 152]"
,
1274,"[138, 216]"
,
3692,[139]
,
948,"[140, 197]"
,
1404,"[140, 197]"
,
1405,"[140, 197]"
,
1589,"[140, 197]"
,
1720,"[140, 197]"
,
1869,"[140, 197]"
,
1881,"[140, 197]"
,
2396,"[140, 197]"
,
2878,"[140, 197]"
,
3410,"[140, 197]"
,
4143,"[140, 197]"
,
4696,"[140, 197]"
,
929,[141]
,
1170,[141]
,
1265,[141]
,
1969,"[141, 189]"
,
2018,[141]
,
2849,[141]
,
2964,[141]
,
2988,[141]
,
2989,[141]
,
3199,[141]
,
4186,[141]
,
4282,"[141, 226]"
,
4458,"[141, 516]"
,
1002,[142]
,
1039,[142]
,
1427,[142]
,
1502,"[142, 299]"
,
1503,[142]
,
1698,[142]
,
1844,[142]
,
1940,[142]
,
1982,[142]
,
922,[143]
,
1041,[143]
,
1415,[143]
,
1833,[143]
,
2977,"[143, 281]"
,
2978,[143]
,
2987,"[143, 404]"
,
3979,"[143, 356]"
,
920,[144]
,
2946,[144]
,
3244,"[144, 277]"
,
4668,[144]
,
2518,[145]
,
1757,[146]
,
2120,[146]
,
2421,[146]
,
2937,[146]
,
3308,[146]
,
4602,[146]
,
4346,[152]
,
3423,[153]
,
3424,"[153, 470]"
,
3425,[153]
,
987,[154]
,
2574,[154]
,
889,[155]
,
1269,"[155, 490]"
,
1451,[155]
,
1750,[155]
,
2407,[155]
,
3464,[155]
,
3568,[155]
,
3573,[155]
,
3576,[155]
,
999,[156]
,
1217,[156]
,
1350,"[156, 244]"
,
2445,"[156, 262]"
,
2454,[156]
,
3298,"[156, 281]"
,
3301,[156]
,
3377,[156]
,
3624,[156]
,
4281,[156]
,
1591,[157]
,
938,[162]
,
1020,[162]
,
1042,[162]
,
1202,[162]
,
1219,[162]
,
1331,[162]
,
1332,[162]
,
1947,[162]
,
1960,[162]
,
1980,[162]
,
1996,"[162, 373]"
,
1999,[162]
,
2000,[162]
,
2001,[162]
,
2361,[162]
,
2621,"[162, 496]"
,
2623,[162]
,
2624,[162]
,
2625,[162]
,
2635,"[162, 451]"
,
2839,[162]
,
2876,[162]
,
3002,[162]
,
3076,[162]
,
3305,[162]
,
3621,[162]
,
3764,[162]
,
3765,[162]
,
3766,"[162, 342]"
,
3767,[162]
,
3768,[162]
,
3770,[162]
,
4391,"[162, 547]"
,
4632,[162]
,
2282,[163]
,
1488,[164]
,
1558,[164]
,
2805,[164]
,
1694,[168]
,
2970,[168]
,
3400,[168]
,
3402,[168]
,
4495,[168]
,
